date,avg_heart_rate,max_heart_rate,min_heart_rate
2026-02-06,90.5,177.0,62.0
2026-02-09,72.76,103.0,57.0
2026-02-10,75.81,114.0,45.0
2026-02-11,77.41,163.0,50.0
2026-02-12,77.57,123.0,49.0
2026-02-13,76.37,131.0,48.0
2026-02-14,81.93,137.0,45.0
2026-02-15,76.61,112.0,54.0
2026-02-16,79.66,123.0,49.0
2026-02-17,75.51,124.0,49.0
2026-02-18,78.81,123.0,50.0
2026-02-19,78.32,122.0,52.0
2026-02-20,78.13,121.0,52.0
2026-02-21,86.48,161.0,50.0
2026-02-22,69.26,121.0,48.0
2026-02-23,65.97,117.0,46.0
2026-02-24,69.57,115.0,49.0
2026-02-25,75.81,122.0,53.0
2026-02-26,78.88,115.0,62.0
2026-02-27,75.8,120.0,51.0
2026-02-28,82.58,172.0,50.0
2026-03-01,77.21,179.0,52.0
2026-03-02,81.58,176.0,51.0
2026-03-03,77.21,175.0,52.0
2026-03-04,76.97,108.0,51.0
2026-03-05,83.72,168.0,56.0
2026-03-06,85.4,177.0,54.0
2026-03-07,79.74,148.0,55.0
2026-03-08,77.93,174.0,53.0
2026-03-09,74.35,173.0,51.0
2026-03-10,83.34,179.0,53.0
2026-03-11,80.98,177.0,54.0
2026-03-12,78.34,178.0,54.0
2026-03-13,75.91,142.0,53.0
2026-03-14,79.21,176.0,52.0
2026-03-15,76.75,176.0,54.0
2026-03-16,76.12,121.0,51.0
2026-03-17,75.96,119.0,53.0
2026-03-18,80.64,125.0,51.0
2026-03-19,74.42,119.0,49.0
2026-03-20,79.2,184.0,56.0
2026-03-21,78.54,175.0,52.0
2026-03-22,77.74,176.0,55.0
2026-03-23,81.91,180.0,54.0
2026-03-24,86.8,175.0,64.0
2026-03-25,76.49,166.0,51.0
2026-03-26,77.53,184.0,54.0
2026-03-27,78.91,162.0,55.0
2026-03-28,79.31,178.0,57.0
2026-03-29,79.05,177.0,52.0
2026-03-30,79.75,177.0,52.0
2026-03-31,67.73,110.0,51.0
2026-04-01,78.33,115.0,54.0
2026-04-02,75.23,129.0,53.0
2026-04-03,78.07,170.0,50.0
2026-04-04,77.47,182.0,47.0
2026-04-05,76.78,119.0,51.0
2026-04-06,73.23,108.0,55.0
2026-04-07,72.94,173.0,52.0
2026-04-08,77.65,170.0,54.0
2026-04-09,74.85,132.0,53.0
2026-04-10,94.89,132.0,74.0
2026-04-11,79.88,176.0,53.0
2026-04-12,82.8,164.0,56.0
2026-04-13,79.77,180.0,53.0
2026-04-14,96.4,177.0,57.0
2026-04-15,95.16,143.0,65.0
2026-04-16,85.17,111.0,61.0
2026-04-17,76.72,169.0,53.0
2026-04-18,85.33,129.0,53.0
2026-04-19,88.69,152.0,52.0
2026-04-20,99.21,168.0,65.0
2026-04-21,83.16,133.0,54.0
2026-04-22,83.46,167.0,59.0
2026-04-23,72.05,121.0,50.0
2026-04-24,94.87,162.0,70.0
2026-04-25,87.12,135.0,53.0
2026-04-26,86.12,167.0,53.0
2026-04-27,86.26,160.0,53.0
2026-04-28,83.28,119.0,51.0
2026-04-29,83.93,160.0,50.0
2026-04-30,118.36,165.0,64.0
2026-05-01,100.8,174.0,51.0
2026-05-02,81.97,126.0,47.0
2026-05-03,82.21,131.0,46.0
2026-05-04,63.69,113.0,48.0
2026-05-05,87.46,179.0,47.0
2026-05-06,88.73,181.0,52.0
2026-05-07,114.83,167.0,77.0
2026-05-08,114.35,178.0,53.0
2026-05-09,82.54,147.0,48.0
2026-05-10,75.53,108.0,55.0
2026-05-11,85.82,175.0,48.0
2026-05-12,82.28,166.0,49.0
2026-05-13,96.63,126.0,64.0
2026-05-14,65.91,133.0,52.0
2026-05-15,139.0,179.0,87.0
