date,daily_step_count
2026-02-09,2944
2026-02-10,3751
2026-02-11,3751
2026-02-12,3729
2026-02-13,4038
2026-02-14,4038
2026-02-15,6760
2026-02-16,6760
2026-02-17,4073
2026-02-18,4073
2026-02-19,4943
2026-02-20,13535
2026-02-21,13535
2026-02-22,3893
2026-02-23,3210
2026-02-24,5773
2026-02-25,5773
2026-02-26,3609
2026-02-27,6579
2026-02-28,6579
2026-03-01,3540
2026-03-02,3540
2026-03-03,2937
2026-03-04,5514
2026-03-05,5514
2026-03-06,4614
2026-03-07,4253
2026-03-08,3377
2026-03-09,2829
2026-03-10,3071
2026-03-11,4368
2026-03-12,4368
2026-03-13,3560
2026-03-14,3825
2026-03-15,3825
2026-03-16,2772
2026-03-17,5670
2026-03-18,5670
2026-03-19,4061
2026-03-20,4061
2026-03-21,3644
2026-03-22,3372
2026-03-23,5444
2026-03-24,5984
2026-03-25,5984
2026-03-26,4610
2026-03-27,4320
2026-03-28,2810
2026-03-29,3126
2026-03-30,5939
2026-03-31,5939
2026-04-01,3438
2026-04-02,3988
2026-04-03,4868
2026-04-04,4868
2026-04-05,2874
2026-04-06,3252
2026-04-07,5725
2026-04-08,5725
2026-04-09,3019
2026-04-10,3608
2026-04-11,4560
2026-04-12,5029
2026-04-13,5555
2026-04-14,5555
2026-04-15,3917
2026-04-16,3472
2026-04-17,7732
2026-04-18,7831
2026-04-19,7831
2026-04-20,7841
2026-04-21,2837
2026-04-22,4688
2026-04-23,4924
2026-04-24,7201
2026-04-25,7201
2026-04-26,7082
2026-04-27,7033
2026-04-28,6491
2026-04-29,6491
2026-04-30,3021
2026-05-01,6784
2026-05-02,7029
2026-05-03,7029
2026-05-04,7206
2026-05-05,7206
2026-05-06,5849
2026-05-07,1986
2026-05-08,5544
2026-05-09,5544
2026-05-10,5774
2026-05-11,6670
2026-05-12,6670
2026-05-13,3554
2026-05-14,2986
2026-05-15,1876
