com.samsung.health.sleep_stage,6313013,7
create_sh_ver,start_time,sleep_id,custom,modify_sh_ver,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
63070030,2026-02-09 22:04:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.343,2026-02-14 09:28:09.343,40002,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-09 22:07:00.000,78047430-599c-45d0-b6fb-7273eeaf9b12,
63070030,2026-02-09 22:07:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.343,2026-02-14 09:28:09.343,40001,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-09 22:08:00.000,73da2343-0f82-4e6c-8217-e07ad6257f70,
63070030,2026-02-09 22:08:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.343,2026-02-14 09:28:09.343,40002,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-09 22:21:00.000,66eca91f-5e1e-415b-b10f-0ab5b581360b,
63070030,2026-02-09 22:21:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.343,2026-02-14 09:28:09.343,40003,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-09 23:25:00.000,33b131fb-0636-40ee-9e50-8bebaa36cef4,
63070030,2026-02-09 23:25:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.344,2026-02-14 09:28:09.344,40002,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-09 23:49:00.000,bbd10cb3-70e1-4c14-9c0f-792b29e3eefa,
63070030,2026-02-09 23:49:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.344,2026-02-14 09:28:09.344,40003,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-10 00:21:00.000,47207e5b-70e8-46cb-b06c-4629f135a3ea,
63070030,2026-02-10 00:21:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.344,2026-02-14 09:28:09.344,40002,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-10 00:24:00.000,c2259605-19f6-4833-be7a-cd3886eaa031,
63070030,2026-02-10 00:24:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.344,2026-02-14 09:28:09.344,40003,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-10 00:49:00.000,f559f776-6a28-4faf-a096-39819b0b53a0,
63070030,2026-02-10 00:49:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.344,2026-02-14 09:28:09.344,40002,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-10 01:00:00.000,d95edc9a-edfa-4e6a-a4ec-8e2384fb0150,
63070030,2026-02-10 01:00:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.344,2026-02-14 09:28:09.344,40001,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-10 01:01:00.000,9d67b3c0-13e4-48bf-9188-7b174c1f7dfa,
63070030,2026-02-10 01:01:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.344,2026-02-14 09:28:09.344,40002,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-10 01:28:00.000,4c60e09f-f919-448a-a947-80c4b78eca30,
63070030,2026-02-10 01:28:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.344,2026-02-14 09:28:09.344,40001,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-10 01:29:00.000,752d80d2-6e2d-4f18-8199-c4d5840af027,
63070030,2026-02-10 01:29:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.344,2026-02-14 09:28:09.344,40002,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-10 01:41:00.000,deb8e4b2-8a46-4a19-8a1c-52021ff5f5dd,
63070030,2026-02-10 01:41:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.344,2026-02-14 09:28:09.344,40003,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-10 02:21:00.000,acb14a13-c85b-44a8-9ebe-fffc6faebdd1,
63070030,2026-02-10 02:21:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.344,2026-02-14 09:28:09.344,40002,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-10 03:13:00.000,d28f145a-1cb3-4a6e-9282-d53f570a3646,
63070030,2026-02-10 03:13:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.344,2026-02-14 09:28:09.344,40001,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-10 03:14:00.000,1d1c240f-6527-4c6e-b459-2118cef09e2f,
63070030,2026-02-10 03:14:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.344,2026-02-14 09:28:09.344,40002,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-10 03:41:00.000,a53f6df3-f915-4b0a-a44d-a0506e4caf27,
63070030,2026-02-10 03:41:00.000,a3744f6c-73a4-4ba2-8695-b8e8d40783e6,,63070030,2026-02-14 09:28:09.344,2026-02-14 09:28:09.344,40001,UTC+0330,9D1LETwId9,com.yc.gloryfit,2026-02-10 03:47:00.000,a9fd9dbd-7742-4aa3-a389-d350a8c33d88,
