MAE,RMSE,Precision,Recall,F1,components
0.7937435986310788,0.9937823151473835,0.06652173913043477,0.05568698817106459,0.06062407132194076,10
0.7887552076624884,0.9898502020094531,0.08065217391304347,0.06751592356687897,0.07350173353095513,20
0.7857788445289577,0.9860261193773533,0.07663043478260868,0.06414922656960872,0.0698365527483895,30
0.786978274798779,0.9865996344974467,0.07608695652173912,0.06369426751592355,0.0693412580480428,40
0.786437313521643,0.9863574051391641,0.08152173913043477,0.06824385805277523,0.07429420505150985,50
0.788038074977523,0.9887375402018961,0.07695652173913042,0.06442220200181982,0.07013372956859754,60
0.786826047679517,0.9865525224589266,0.08456521739130433,0.07079162875341218,0.07706785537345141,80
0.7899877380528743,0.9893230105146121,0.07902173913043477,0.06615104640582346,0.072015849429915,100
0.7882030075392751,0.9876833712454327,0.08239130434782607,0.06897179253867151,0.0750866765720646,120
0.7903236333744732,0.9898413024146527,0.08076086956521737,0.067606915377616,0.07360079247102447,150
0.7899755536235684,0.989222657883404,0.08271739130434781,0.06924476797088261,0.0753838533922726,180
0.7899464715959705,0.9896204039076991,0.08304347826086955,0.0695177434030937,0.07568103021248064,220
0.7909591500643747,0.9903533171992477,0.08097826086956521,0.06778889899909007,0.07379891035116315,260
0.7916020655406212,0.9908417346612335,0.08130434782608693,0.06806187443130117,0.07409608717137117,300
