iteration,FCM_objective
1,1602.031848214569
2,1199.8147813724893
3,1199.796088261518
4,1199.7939538513388
5,1199.7928897437916
6,1199.7917819426518
7,1199.7904723974125
8,1199.7889015982641
9,1199.7870146543537
10,1199.7847479821326
11,1199.7820256944624
12,1199.7787569148177
13,1199.7748327906716
14,1199.7701229575455
15,1199.7644713289526
16,1199.7576911002013
17,1199.749558863803
18,1199.739807770797
19,1199.7281197669172
20,1199.7141171379778
21,1199.6973540054864
22,1199.6773091683044
23,1199.6533830087096
24,1199.624903349903
25,1199.5911483923628
26,1199.5513989856147
27,1199.5050361013919
28,1199.4516984690608
29,1199.3915022560245
30,1199.3252904394062
31,1199.254824647267
32,1199.1827847355157
33,1199.1124592018941
34,1199.0471362405708
35,1198.9893959523542
36,1198.9406133273176
37,1198.9008840616848
38,1198.8693372618077
39,1198.844609251289
40,1198.8252527047848
41,1198.8099802067502
42,1198.797756049405
43,1198.7877951025284
44,1198.7795217743405
45,1198.772520749866
46,1198.766493482653
47,1198.7612243495653
48,1198.7565559719596
49,1198.752371831822
50,1198.7485842382282
51,1198.745126053226
52,1198.7419449996205
53,1198.7389997223745
54,1198.7362570367823
55,1198.7336899811296
56,1198.7312764176513
57,1198.728998010313
58,1198.7268394643017
59,1198.7247879495246
60,1198.722832655249
61,1198.720964439612
62,1198.719175548862
63,1198.7174593887516
64,1198.715810335671
65,1198.7142235786814
66,1198.7126949861015
67,1198.71122099203
68,1198.7097984994339
69,1198.7084247972748
70,1198.7070974897515
71,1198.7058144361633
72,1198.7045737001667
73,1198.7033735073992
74,1198.7022122105693
75,1198.701088261189
76,1198.7000001871904
77,1198.6989465756992
78,1198.6979260602777
79,1198.6969373119823
80,1198.6959790336052
81,1198.6950499565228
82,1198.6941488396003
83,1198.6932744696592
84,1198.6924256630618
85,1198.691601268015
86,1198.6908001672575
87,1198.6900212808478
88,1198.6892635688112
89,1198.688526033472
90,1198.6878077213332
91,1198.6871077244116
92,1198.6864251809757
93,1198.685759275668
94,1198.685109239022
95,1198.6844743464085
96,1198.6838539164667
97,1198.6832473090853
98,1198.6826539230183
99,1198.6820731932153
100,1198.681504587958
