budget,method,mean_accuracy,std_accuracy
2,TC-KME-PMAL,0.7933333333333333,0.14146063449281965
3,TC-KME-PMAL,0.5,0.0
4,TC-KME-PMAL,0.8883333333333333,0.1320879336738304
5,TC-KME-PMAL,0.5,0.0
6,TC-KME-PMAL,0.9366666666666665,0.03785938897200183
7,TC-KME-PMAL,0.5016666666666667,0.005000000000000016
8,TC-KME-PMAL,0.9633333333333333,0.024494897427831765
9,TC-KME-PMAL,0.6,0.1046156988431681
10,TC-KME-PMAL,0.9716666666666667,0.01833333333333332
11,TC-KME-PMAL,0.79,0.11742609969205689
12,TC-KME-PMAL,0.9733333333333333,0.022607766610417565
13,TC-KME-PMAL,0.8883333333333333,0.07189884870040998
14,TC-KME-PMAL,0.9566666666666667,0.06377042156569661
15,TC-KME-PMAL,0.9216666666666666,0.059184269681882354
16,TC-KME-PMAL,0.9783333333333333,0.018333333333333323
17,TC-KME-PMAL,0.9683333333333334,0.02833333333333333
18,TC-KME-PMAL,0.9783333333333333,0.02477678124553085
19,TC-KME-PMAL,0.9666666666666668,0.034156502553198666
20,TC-KME-PMAL,0.9833333333333332,0.010540925533894595
21,TC-KME-PMAL,0.9766666666666668,0.019999999999999993
22,TC-KME-PMAL,0.9816666666666667,0.01572330188676101
23,TC-KME-PMAL,0.9833333333333334,0.014907119849998608
24,TC-KME-PMAL,0.9766666666666668,0.027080128015453186
25,TC-KME-PMAL,0.9799999999999999,0.012472191289246471
26,TC-KME-PMAL,0.9799999999999999,0.017950549357115004
27,TC-KME-PMAL,0.9833333333333332,0.007453559924999297
28,TC-KME-PMAL,0.9783333333333333,0.015000000000000005
29,TC-KME-PMAL,0.985,0.008975274678557512
30,TC-KME-PMAL,0.9783333333333332,0.01067187372905474
31,TC-KME-PMAL,0.9783333333333332,0.0076376261582597055
32,TC-KME-PMAL,0.9783333333333332,0.01067187372905474
33,TC-KME-PMAL,0.9816666666666667,0.01166666666666666
34,TC-KME-PMAL,0.9766666666666666,0.015275252316519468
35,TC-KME-PMAL,0.9733333333333333,0.019999999999999993
2,MARGIN,0.8183333333333334,0.12746459203332597
3,MARGIN,0.5,0.0
4,MARGIN,0.8550000000000001,0.07342796923970228
5,MARGIN,0.5,0.0
6,MARGIN,0.9433333333333334,0.04096068575814833
7,MARGIN,0.5433333333333333,0.04725815626252608
8,MARGIN,0.9583333333333334,0.032702361450580954
9,MARGIN,0.7533333333333333,0.0924361641590803
10,MARGIN,0.9583333333333334,0.040311288741492736
11,MARGIN,0.875,0.09013878188659971
12,MARGIN,0.9266666666666667,0.10806376718298218
13,MARGIN,0.9316666666666666,0.04374801582802228
14,MARGIN,0.9433333333333334,0.07930251502246878
15,MARGIN,0.9533333333333334,0.040688518719112346
16,MARGIN,0.9099999999999999,0.07498147919467993
17,MARGIN,0.9633333333333333,0.02449489742783178
18,MARGIN,0.9549999999999998,0.058238017365520485
19,MARGIN,0.9666666666666666,0.02581988897471609
20,MARGIN,0.9766666666666666,0.019999999999999993
21,MARGIN,0.9633333333333333,0.026666666666666655
22,MARGIN,0.9666666666666666,0.04594682917363405
23,MARGIN,0.9733333333333333,0.02603416558635551
24,MARGIN,0.975,0.017078251276599333
25,MARGIN,0.9800000000000001,0.019436506316150994
26,MARGIN,0.975,0.027131367660166165
27,MARGIN,0.975,0.01536590742882148
28,MARGIN,0.9766666666666668,0.02134374745810949
29,MARGIN,0.9800000000000001,0.023333333333333338
30,MARGIN,0.9749999999999999,0.015365907428821478
31,MARGIN,0.975,0.022669117514559058
32,MARGIN,0.9799999999999999,0.01452966314513558
33,MARGIN,0.9766666666666666,0.0270801280154532
34,MARGIN,0.9816666666666667,0.017400510848184263
35,MARGIN,0.9633333333333333,0.026666666666666655
2,RANDOM,0.8600000000000001,0.10333333333333332
3,RANDOM,0.5,0.0
4,RANDOM,0.7466666666666668,0.17269111795984826
5,RANDOM,0.5,0.0
6,RANDOM,0.6300000000000001,0.19955506062794354
7,RANDOM,0.5166666666666667,0.029814239699997202
8,RANDOM,0.6783333333333333,0.20139099615755748
9,RANDOM,0.595,0.10056783227697058
10,RANDOM,0.7866666666666667,0.18101565309847287
11,RANDOM,0.7183333333333334,0.1531974035173065
12,RANDOM,0.8016666666666665,0.17566540163997385
13,RANDOM,0.8566666666666667,0.1535143858622594
14,RANDOM,0.825,0.1655378439444521
15,RANDOM,0.8700000000000001,0.10132456102380442
16,RANDOM,0.9033333333333333,0.04521553322083513
17,RANDOM,0.9333333333333333,0.0447213595499958
18,RANDOM,0.9399999999999998,0.0448454134902457
19,RANDOM,0.9266666666666665,0.060644684662200826
20,RANDOM,0.9349999999999999,0.05649483752226098
21,RANDOM,0.9549999999999998,0.022422706745122856
22,RANDOM,0.9516666666666665,0.02833333333333333
23,RANDOM,0.9550000000000001,0.018333333333333337
24,RANDOM,0.9566666666666667,0.018559214542766746
25,RANDOM,0.9666666666666666,0.014907119849998582
26,RANDOM,0.9633333333333333,0.02560381915956202
27,RANDOM,0.9650000000000001,0.021666666666666674
28,RANDOM,0.9666666666666666,0.0210818510677892
29,RANDOM,0.9666666666666666,0.0223606797749979
30,RANDOM,0.9666666666666666,0.0210818510677892
31,RANDOM,0.9666666666666666,0.0210818510677892
32,RANDOM,0.9683333333333334,0.020344259359556173
33,RANDOM,0.9683333333333334,0.01572330188676099
34,RANDOM,0.97,0.02081665999466131
35,RANDOM,0.9716666666666667,0.01833333333333332
